premise,hypothesis,label
"Do biến chủng Ấn Độ lây nhanh, ngành y tế đã thay đổi phương thức ""chạy theo"" xét nghiệm sang ""tấn công"" bằng cách chủ động xét nghiệm sàng lọc.","Ngành y tế Ấn Độ đã thay đổi phương thức ""chạy theo"" xét nghiệm sang ""tấn công"" bằng cách chủ động xét nghiệm sàng lọc.",1
"Trong quá khứ, Elon Musk thường né tránh các câu hỏi về Bitcoin cũng như số lượng mà ông nắm giữ.",Elon Musk thường tiếp nhận những câu hỏi về số lượng tiền ảo mà ông đang có.,2
"""Tôi biết Joe Biden khá lâu rồi, và ông ấy có năng lượng của Donald Trump hay không thì chúng ta đều biết"", lãnh đạo phe Cộng hòa tại Hạ viện Kevin McCarthy trả lời phỏng vấn hôm 14/5.","Trong thời gian quen biết với Joe Biden, Kevin McCarthy hiểu được năng lực của Biden và Trump như thế nào.",0
Tim Cook gia nhập Apple năm 1997 và bắt đầu tiếp quản vị trí CEO do Steve Jobs để lại năm 2011.,Steve Jobs muốn nhường lại vị trí CEO cho Tim Cook nên đã đệ đơn xin nghỉ việc.,1
"Theo cơ quan chức năng, trích xuất camera ghi nhận con trăn gấm không rõ từ đâu bò lên cây bàng trong sân trường Trường THPT Nguyễn Trãi lúc 3h cùng ngày.",Cơ quan chức năng chưa biết con trăn gấm chui từ chỗ nào ra.,0
"Tổng công ty Idico cho biết, doanh thu thuần quý đầu năm giảm nhẹ so với cùng kỳ, đạt trên 1.045 tỷ đồng.",Tổng công ty Idico gồm công ty mẹ và các công ty con.,1
"Ngọn lửa xuất hiện khi siêu xe McLaren 765LT đang tiếp nhiên liệu tại trạm xăng ở Upper Gwynedd Township, bang Pennsylvania, hôm 25/4.","Trước 5 ngày của cuối tháng 4, trạm xăng ở Upper Gwynedd Township, bang Pennsylvania có thể bị cháy",0
"Ban chỉ đạo phòng chống Covid-19 Đà Nẵng chiều 24/5 cho biết ""bệnh nhân 5280"" là F1, sống cùng nhà với vợ chồng anh trai là ""bệnh nhân 3459"" và ""bệnh nhân 3224"".",F1 không phải là người bình thường.,0
"Căn nhà một tầng nằm trên khu đất 7,5 m x 30 m ở thị xã Hòa Thành là món quà một nữ nhiếp ảnh gia dành tặng bố mẹ và các anh chị em.",Bố mẹ nữ nhiếp ảnh gia đang ở thị xã Hòa Thành.,1
"Bảo Ngọc sinh năm 1996, là cháu gái của NSƯT Bảo Quốc, em gái diễn viên hài Gia Bảo.","Em danh hài Gia Bảo là cháu gái NSƯT Bảo Quốc, cô gái này vừa kết hôn được 2 tháng.",1
"Học sinh 149 trường chuyên, năng khiếu, có điểm thi THPT quốc gia cao nhiều năm được ưu tiên xét tuyển vào các trường thành viên Đại học Quốc gia TP HCM.",Đại học quốc gia TP HCM là trường THPT quốc gia được nhiều thí sinh nộp xét tuyển.,2
"Vận động viên tham gia Vietnam Trail Marathon (VTM) ở các cự ly 5 - 70 km đường mòn băng qua các vườn đào, mận và đồi chè.","Vận động viên tham gia Vietnam Trail Marathon để tham quan các vườn đào, mận và đồi chè.",2
"Nguyễn Minh Tú sinh năm 1991 tại TP HCM, từng giành giải bạc Siêu mẫu Việt Nam 2013.",Nguyễn Minh Tú giành giải bạc Siêu mẫu Việt Nam khi vừa tròn 22 tuổi.,1
"Riêng huyện Cẩm Giàng, Kim Thành, thị xã Kinh Môn, TP Chí Linh, TP Hải Dương học sinh hai khối lớp 9 và 12 đến trường trở lại từ ngày 18/3.","Huyện Cẩm Giàng, TP Hải Dương cho toàn bộ học sinh cấp 2, cấp 3 đi học trở lại.",2
Adam Wisniewski dính chấn thương khi đá vào chân trụ của Vadim Shablevskyi trong trận đấu chính sự kiện Krwawy Sport hôm 9/5.,Adam Wisniewski sau khi gặp trọng thương do đá vào chân trụ Vadim Shablevskyi đã nhập viện.,1
"Chuỗi lây nhiễm tại quán bán bánh canh O Thanh đến nay ghi nhận 5 bệnh nhân, gồm người mẹ và hai con sống chung nhà (""bệnh nhân 4780"", 4781, 4782, ghi nhận ngày 20/5), hai F1 sống riêng chỉ tới thăm là cháu ngoại (""bệnh nhân 5329"", phát hiện ngày 24/5) và con gái (""bệnh nhân 5463"", ngày 25/5).",Hai bệnh nhân sống tại quán bán bánh canh O Thanh.,2
"Diễn viên The Rock hát tặng cô bé bốn tuổi Indy Llew Jones, đang chiến đấu với hội chứng Down và bệnh ung thư.",Indy Llew Jones là bệnh nhân mắc bệnh hiểm nghèo.,0
"Hàng ngàn ly sữa đã được cộng đồng chung tay cùng Vinamilk và Quỹ sữa Vươn cao Việt Nam góp tặng các em nhỏ khó khăn qua chiến dịch “Triệu ly sữa yêu thương, triệu nụ cười hạnh phúc”.",Vinamilk và Quỹ sữa Vươn cao Việt Nam thực hiện chương trình thiện nguyện hỗ trợ các em có hoàn cảnh khó khăn.,0
"Năm 2016, UBND tỉnh Phú Yên giao Ban quản lý Khu kinh tế Phú Yên làm chủ đầu tư dự án hạ tầng kỹ thuật giai đoạn một Khu đô thị mới Nam TP Tuy Hòa.",Phú Yên sẽ có đổi mới trong cấu trúc hạ tầng dô thị.,0
"Melinda thuê luật sư tín thác bất động sản trong vụ ly hôn, động thái cho thấy bà có thể điều chỉnh khoản thừa kế của các con.",Trong tương lai khoản thừa kế của các con của Melinda có thể sẽ thay đổi.,0
"""Tôi đã chơi với những cầu thủ hàng đầu như Lionel Messi hay Kylian Mbappe, nhưng chưa bao giờ được thi đấu bên cạnh Cristiano Ronaldo.",Tôi đã có vinh hạnh được đồng hành cùng nhiều cầu thủ hàng đầu Lionel Messi hay Kylian Mbappe và cả Cristiano Ronaldo.,2
"Học sinh 149 trường chuyên, năng khiếu, có điểm thi THPT quốc gia cao nhiều năm được ưu tiên xét tuyển vào các trường thành viên Đại học Quốc gia TP HCM.",Đại học Quốc gia TP HCM là 1 khối liên minh có ít nhất 2 trường đại học trở lên.,0
"Trong số 50 hồ sơ vào vòng Bình chọn, chỉ có hai ứng viên nữ là Trần Thị Hồng Vân và Võ Hồng Phương.",Hai ứng viên được vào vòng Bình chọn có thể là nữ,0
"Xe lu do anh Trần Trung Thành, 38 tuổi, lái chạy lùi.",Do đang chạy lùi dẫn đến nhiều điểm mù.,1
Người đàn ông 36 tuổi bị bắt hôm 12/5 là nghi phạm chính trong vụ sát hại người phụ nữ Việt Nam 45 tuổi.,"Anh ta, chưa đến giữa tháng 5, đã bị bắt giữ.",0
Chính quyền xã Quang Châu (Việt Yên) đưa hơn 1.300 công nhân Công ty Hosiden từ nhà trọ đến khu cách ly tập trung lúc 2h sáng 26/5.,Chính quyền xã Quang Châu không có động thái phòng chống dịch.,2
"Nguyễn Minh Tú sinh năm 1991 tại TP HCM, từng giành giải bạc Siêu mẫu Việt Nam 2013.",Nguyễn Minh Tú là một siêu mẫu được công nhận thực lực.,0
"Rãnh áp thấp ở phía Nam hoạt động mạnh dần, xu hướng nâng trục lên phía Bắc từ ngày 19/5 khiến TP HCM và một số tỉnh Nam Bộ mưa to, gây ngập.",Tỉnh phía Nam sẽ có mưa rất to luôn á.,1
Đang làm công nhân ở Bình Dương và chưa từng đi máy bay bao giờ nhưng anh Hải quyết định nhờ một người bạn chở ra sân bay Tân Sơn Nhất (TP HCM) mua vé về quê.,Bình Dương không có sân bay.,1
"Billie Eilish vừa có màn ""lột xác"" phong cách trong bộ ảnh chụp cho Vogue Anh số tháng 6.","Vào quý 3 này, Billie Eilish sẽ lần đầu tiên được đăng ảnh trên các tờ báo lớn.",2
"Tuyến đường dài 21,5 km, 4 làn xe, điểm đầu từ nút giao Trạm 2 trên xa lộ Hà Nội (TP Thủ Đức) đi trùng quốc lộ 1 đến ngã tư An Sương (quận 12).","Làng đại học tọa lạc tại Thủ Đức gồm trường Đại học Bách Khoa, Đại học quốc tế, Đại học công nghệ thông tin,...",1
Một loạt điểm winner của Shapovalov cùng những lỗi tự đánh hỏng của Nadal giúp tay vợt Canada dẫn 4-0 trong set đầu.,Nadal lên kế hoạch giúp tay vợt Canada dẫn 4-0 trong set đầu.,1
"""Thật thú vị khi được gặp Jack"", một nhân viên từ chối nêu tên cho biết.",Một nhân viên rất ghét Jack nên từ chối nêu tên.,2
Mẫu concept thiết kế dựa trên kết quả nghiên cứu người tiêu dùng mà Honda đã thực hiện trên nhiều quốc gia.,Nhiều quốc gia đã gửi những mẫu thiết kể cho Honda để tham dự cuộc thi.,2
Ngày Chuyển đổi số Việt Nam 2021 (Vietnam DX Day 2021) sẽ có 8 phiên hội nghị về 8 lĩnh vực trọng điểm và 2 phiên cho doanh nghiệp nhỏ và vừa.,Ngày Chuyển đổi số Việt Nam 2021 sẽ có 2 phiên hội nghị cho tất cả doanh nghiệp.,2
Một hành lang mở chạy dọc nhà kết nối không gian sinh hoạt với khu vườn.,Không gian sinh hoạt được gắn với phần hành lang.,0
"Trong năm đầu được tổ chức, Vietnam DX Day 2020 thu hút hơn 2.000 đại biểu trực tiếp và hơn 10.000 khán giả trực tuyến theo dõi tham luận của 60 diễn giả trong hai ngày 11 - 12/9/2020.",Vietnam DX Day 2020 thu hút hơn 10.000 khán giả trong và ngoài nước theo dõi tham luận của 60 diễn giả trong hai ngày 11 - 12/9/2020.,1
"Tuy nhiên, Musk lại phát tín hiệu ủng hộ với một đồng tiền khác khi cho biết ông đang làm việc với các nhà phát triển Dogecoin để ""cải thiện hiệu quả hệ thống giao dịch"" và tiềm năng rất hứa hẹn.",Musk chấp nhận người dùng thanh toán bằng Dogecoin do tiềm năng của nó rất hứa hẹn.,1
"Giống như rắn hổ mang, rắn taipan, rắn hổ phì, rắn biển mũi ngắn là thành viên trong họ Rắn hổ.",Rắn biển mũi ngắn có kích thước lớn nhất trong tất cả các thành viên còn lại thuộc họ Rắn hổ.,1
"Trong cuộc phỏng vấn với nhà báo Kara Swisher của New York Times hôm 5/4, CEO Apple Tim Cook đã chia sẻ hàng loạt vấn đề về Facebook, Tesla, Elon Musk cũng như các dự án về kính AR.","Các thông tin mật của Facebook, Tesla, Elon Musk và dự án kính thực tế ảo đã bị rõ rĩ bán giá cao.",1
"Người phụ nữ 33 tuổi xét nghiệm PCR âm tính, xét nghiệm kháng thể dương tính nCoV, là trường hợp tiếp xúc gần ""bệnh nhân 4780"" (bà chủ quán bánh canh O Thanh).","""Bệnh nhân 4780"" lây bệnh cho người phụ nữ 33 tuổi.",1
Tay vợt Tây Ban Nha nhập cuộc tốt khi thắng game đỡ bóng đầu trận.,Tay vợt Tây Ban Nha thua cuộc khi thắng game đỡ bóng đầu trận.,2
"Quy đổi theo tỷ giá ngân hàng, mỗi lượng vàng quốc tế hiện tương đương với 49,4 triệu đồng, thấp hơn giá bán ra của SJC khoảng 6,2 triệu đồng.",Do SJC có chất lượng tốt hơn vàng quốc tế nên có giá bán luôn luôn cao hơn.,1
"VN-Index sáng nay mất 27 điểm nhưng nhờ dòng tiền bắt đáy quyết liệt nên cuối phiên đảo chiều tăng gần 3 điểm, lên 1.242 điểm.","VN-Index sáng nay mất hơn 20 điểm nhưng nhờ dòng tiền bắt đáy quyết liệt nên cuối phiên đảo chiều tăng gần 3 điểm, lên 1.242 điểm",0
"Các trường THPT được chọn là địa điểm tổ chức kỳ thi vào lớp 10 (ngày 4-5/6) và kỳ thi tốt nghiệp THPT (ngày 6-8/7) phải tổng vệ sinh trường lớp, mua sắm máy đo thân nhiệt, dung dịch sát khuẩn, khẩu trang, nước rửa tay hợp vệ sinh...",Các hoạt động vệ sinh trường lớp sẽ được thực khiện khi diễn ra trong thời gian cách ly và dọn mỗi ngày.,1
"Vũ Đức Đông, 25 tuổi, khai sau khi tìm hiểu ""thế giới ngầm"" của gái mại dâm đã lập mưu quay lén trong phòng, ép các cô làm ""công cụ"" kiếm tiền.","Sau khi bóc bánh trả tiền, một thanh niên muốn đối xử thật tốt các cô gái.",1
"Theo báo cáo chế độ tiền lương, tiền thưởng, Tập đoàn Bưu chính Viễn thông Việt Nam (VNPT) ước tính quỹ tiền lương, thưởng cho người quản lý doanh nghiệp thực hiện năm 2020 khoảng 15 tỷ đồng, tăng 17% so với kế hoạch.","Theo kế hoạch năm 2020, Tập đoàn Bưu chính Viễn thông Việt Nam tăng tiền lương, tiền thưởng.",1
"Đầu tháng 4, Tiến mua những thanh sắt đã cắt ngắn khoảng một gang tay rồi hàn lại với nhau, đặt làm cân điện tử gắn chíp điều khiển từ xa.",Kế hoạch lừa đảo này đã được Tiến chuẩn bị từ đầu tháng 4.,1
"Các nhà khoa học phát hiện ngôi mộ cổ xưa nhất được xây dựng có chủ đích của con người ở châu Phi, IFL Science hôm 5/5 đưa tin.","Vào một ngày tháng 5 năm đó, bằng cách này hay cách khác, các nhà khoa học đã tìm ra một ngôi mộ.",0
